,state_name,date,election_type,party,govt_type,election_key,state_abbr
213,washington,1988-11-01,g,np,congress,1988-11-01-g-WA,WA
214,west virginia,1988-11-01,g,np,congress,1988-11-01-g-WV,WV
215,wisconsin,1988-11-01,g,np,congress,1988-11-01-g-WI,WI
216,wyoming,1988-11-01,g,np,congress,1988-11-01-g-WY,WY
217,alaska,1988-11-01,g,np,congress,1988-11-01-g-AK,AK
218,hawaii,1988-11-01,g,np,congress,1988-11-01-g-HI,HI
219,guam,1988-11-01,g,np,congress,1988-11-01-g-GU,GU
220,american samoa,1988-11-01,g,np,congress,1988-11-01-g-AS,AS
221,northern mariana islands,1988-11-01,g,np,congress,1988-11-01-g-MP,MP
222,virgin islands,1988-11-01,g,np,congress,1988-11-01-g-VI,VI
223,puerto rico,1988-11-01,g,np,congress,1988-11-01-g-PR,PR
224,alabama,1990-11-06,g,np,congress,1990-11-06-g-AL,AL
225,arizona,1990-11-06,g,np,congress,1990-11-06-g-AZ,AZ
226,arkansas,1990-11-06,g,np,congress,1990-11-06-g-AR,AR
227,california,1990-11-06,g,np,congress,1990-11-06-g-CA,CA
228,colorado,1990-11-06,g,np,congress,1990-11-06-g-CO,CO
229,connecticut,1990-11-06,g,np,congress,1990-11-06-g-CT,CT
230,delaware,1990-11-06,g,np,congress,1990-11-06-g-DE,DE
231,district of columbia,1990-11-06,g,np,congress,1990-11-06-g-DC,DC
232,florida,1990-11-06,g,np,congress,1990-11-06-g-FL,FL
233,georgia,1990-11-06,g,np,congress,1990-11-06-g-GA,GA
234,idaho,1990-11-06,g,np,congress,1990-11-06-g-ID,ID
235,illinois,1990-11-06,g,np,congress,1990-11-06-g-IL,IL
236,indiana,1990-11-06,g,np,congress,1990-11-06-g-IN,IN
237,iowa,1990-11-06,g,np,congress,1990-11-06-g-IA,IA
238,kansas,1990-11-06,g,np,congress,1990-11-06-g-KS,KS
239,kentucky,1990-11-06,g,np,congress,1990-11-06-g-KY,KY
240,louisiana,1990-11-06,g,np,congress,1990-11-06-g-LA,LA
241,maine,1990-11-06,g,np,congress,1990-11-06-g-ME,ME
242,montana,1990-11-06,g,np,congress,1990-11-06-g-MT,MT
243,nebraska,1990-11-06,g,np,congress,1990-11-06-g-NE,NE
244,nevada,1990-11-06,g,np,congress,1990-11-06-g-NV,NV
245,new hampshire,1990-11-06,g,np,congress,1990-11-06-g-NH,NH
246,new jersey,1990-11-06,g,np,congress,1990-11-06-g-NJ,NJ
247,new mexico,1990-11-06,g,np,congress,1990-11-06-g-NM,NM
248,new york,1990-11-06,g,np,congress,1990-11-06-g-NY,NY
249,north carolina,1990-11-06,g,np,congress,1990-11-06-g-NC,NC
250,north dakota,1990-11-06,g,np,congress,1990-11-06-g-ND,ND
251,ohio,1990-11-06,g,np,congress,1990-11-06-g-OH,OH
252,oklahoma,1990-11-06,g,np,congress,1990-11-06-g-OK,OK
253,oregon,1990-11-06,g,np,congress,1990-11-06-g-OR,OR
254,maryland,1990-11-06,g,np,congress,1990-11-06-g-MD,MD
255,massachusetts,1990-11-06,g,np,congress,1990-11-06-g-MA,MA
256,michigan,1990-11-06,g,np,congress,1990-11-06-g-MI,MI
257,minnesota,1990-11-06,g,np,congress,1990-11-06-g-MN,MN
258,mississippi,1990-11-06,g,np,congress,1990-11-06-g-MS,MS
259,missouri,1990-11-06,g,np,congress,1990-11-06-g-MO,MO
260,pennsylvania,1990-11-06,g,np,congress,1990-11-06-g-PA,PA
261,rhode island,1990-11-06,g,np,congress,1990-11-06-g-RI,RI
262,south carolina,1990-11-06,g,np,congress,1990-11-06-g-SC,SC
263,south dakota,1990-11-06,g,np,congress,1990-11-06-g-SD,SD
264,tennessee,1990-11-06,g,np,congress,1990-11-06-g-TN,TN
265,texas,1990-11-06,g,np,congress,1990-11-06-g-TX,TX
266,utah,1990-11-06,g,np,congress,1990-11-06-g-UT,UT
267,vermont,1990-11-06,g,np,congress,1990-11-06-g-VT,VT
268,virginia,1990-11-06,g,np,congress,1990-11-06-g-VA,VA
269,washington,1990-11-06,g,np,congress,1990-11-06-g-WA,WA
270,west virginia,1990-11-06,g,np,congress,1990-11-06-g-WV,WV
271,wisconsin,1990-11-06,g,np,congress,1990-11-06-g-WI,WI
272,wyoming,1990-11-06,g,np,congress,1990-11-06-g-WY,WY
273,alaska,1990-11-06,g,np,congress,1990-11-06-g-AK,AK
274,hawaii,1990-11-06,g,np,congress,1990-11-06-g-HI,HI
275,guam,1990-11-06,g,np,congress,1990-11-06-g-GU,GU
276,american samoa,1990-11-06,g,np,congress,1990-11-06-g-AS,AS
277,northern mariana islands,1990-11-06,g,np,congress,1990-11-06-g-MP,MP
278,virgin islands,1990-11-06,g,np,congress,1990-11-06-g-VI,VI
279,puerto rico,1990-11-06,g,np,congress,1990-11-06-g-PR,PR
280,alabama,1992-11-03,g,np,congress,1992-11-03-g-AL,AL
281,arizona,1992-11-03,g,np,congress,1992-11-03-g-AZ,AZ
282,arkansas,1992-11-03,g,np,congress,1992-11-03-g-AR,AR
283,california,1992-11-03,g,np,congress,1992-11-03-g-CA,CA
284,colorado,1992-11-03,g,np,congress,1992-11-03-g-CO,CO
285,connecticut,1992-11-03,g,np,congress,1992-11-03-g-CT,CT
286,delaware,1992-11-03,g,np,congress,1992-11-03-g-DE,DE
287,district of columbia,1992-11-03,g,np,congress,1992-11-03-g-DC,DC
288,florida,1992-11-03,g,np,congress,1992-11-03-g-FL,FL
289,georgia,1992-11-03,g,np,congress,1992-11-03-g-GA,GA
290,idaho,1992-11-03,g,np,congress,1992-11-03-g-ID,ID
291,illinois,1992-11-03,g,np,congress,1992-11-03-g-IL,IL
292,indiana,1992-11-03,g,np,congress,1992-11-03-g-IN,IN
293,iowa,1992-11-03,g,np,congress,1992-11-03-g-IA,IA
294,kansas,1992-11-03,g,np,congress,1992-11-03-g-KS,KS
295,kentucky,1992-11-03,g,np,congress,1992-11-03-g-KY,KY
296,louisiana,1992-11-03,g,np,congress,1992-11-03-g-LA,LA
297,maine,1992-11-03,g,np,congress,1992-11-03-g-ME,ME
298,montana,1992-11-03,g,np,congress,1992-11-03-g-MT,MT
299,nebraska,1992-11-03,g,np,congress,1992-11-03-g-NE,NE
300,nevada,1992-11-03,g,np,congress,1992-11-03-g-NV,NV
301,new hampshire,1992-11-03,g,np,congress,1992-11-03-g-NH,NH
302,new jersey,1992-11-03,g,np,congress,1992-11-03-g-NJ,NJ
303,new mexico,1992-11-03,g,np,congress,1992-11-03-g-NM,NM
304,new york,1992-11-03,g,np,congress,1992-11-03-g-NY,NY
305,north carolina,1992-11-03,g,np,congress,1992-11-03-g-NC,NC
306,north dakota,1992-11-03,g,np,congress,1992-11-03-g-ND,ND
307,ohio,1992-11-03,g,np,congress,1992-11-03-g-OH,OH
308,oklahoma,1992-11-03,g,np,congress,1992-11-03-g-OK,OK
309,oregon,1992-11-03,g,np,congress,1992-11-03-g-OR,OR
310,maryland,1992-11-03,g,np,congress,1992-11-03-g-MD,MD
311,massachusetts,1992-11-03,g,np,congress,1992-11-03-g-MA,MA
312,michigan,1992-11-03,g,np,congress,1992-11-03-g-MI,MI
313,minnesota,1992-11-03,g,np,congress,1992-11-03-g-MN,MN
314,mississippi,1992-11-03,g,np,congress,1992-11-03-g-MS,MS
315,missouri,1992-11-03,g,np,congress,1992-11-03-g-MO,MO
316,pennsylvania,1992-11-03,g,np,congress,1992-11-03-g-PA,PA
317,rhode island,1992-11-03,g,np,congress,1992-11-03-g-RI,RI
318,south carolina,1992-11-03,g,np,congress,1992-11-03-g-SC,SC
319,south dakota,1992-11-03,g,np,congress,1992-11-03-g-SD,SD
320,tennessee,1992-11-03,g,np,congress,1992-11-03-g-TN,TN
321,texas,1992-11-03,g,np,congress,1992-11-03-g-TX,TX
322,utah,1992-11-03,g,np,congress,1992-11-03-g-UT,UT
323,vermont,1992-11-03,g,np,congress,1992-11-03-g-VT,VT
324,virginia,1992-11-03,g,np,congress,1992-11-03-g-VA,VA
325,washington,1992-11-03,g,np,congress,1992-11-03-g-WA,WA
326,west virginia,1992-11-03,g,np,congress,1992-11-03-g-WV,WV
327,wisconsin,1992-11-03,g,np,congress,1992-11-03-g-WI,WI
328,wyoming,1992-11-03,g,np,congress,1992-11-03-g-WY,WY
329,alaska,1992-11-03,g,np,congress,1992-11-03-g-AK,AK
