state_name,date,election_type,party,govt_type,election_key,state_abbr
oregon,1988-11-01,g,np,congress,1988-11-01-g-OR,OR
maryland,1988-11-01,g,np,congress,1988-11-01-g-MD,MD
massachusetts,1988-11-01,g,np,congress,1988-11-01-g-MA,MA
michigan,1988-11-01,g,np,congress,1988-11-01-g-MI,MI
minnesota,1988-11-01,g,np,congress,1988-11-01-g-MN,MN
mississippi,1988-11-01,g,np,congress,1988-11-01-g-MS,MS
missouri,1988-11-01,g,np,congress,1988-11-01-g-MO,MO
pennsylvania,1988-11-01,g,np,congress,1988-11-01-g-PA,PA
rhode island,1988-11-01,g,np,congress,1988-11-01-g-RI,RI
south carolina,1988-11-01,g,np,congress,1988-11-01-g-SC,SC
south dakota,1988-11-01,g,np,congress,1988-11-01-g-SD,SD
tennessee,1988-11-01,g,np,congress,1988-11-01-g-TN,TN
texas,1988-11-01,g,np,congress,1988-11-01-g-TX,TX
utah,1988-11-01,g,np,congress,1988-11-01-g-UT,UT
vermont,1988-11-01,g,np,congress,1988-11-01-g-VT,VT
virginia,1988-11-01,g,np,congress,1988-11-01-g-VA,VA
washington,1988-11-01,g,np,congress,1988-11-01-g-WA,WA
west virginia,1988-11-01,g,np,congress,1988-11-01-g-WV,WV
wisconsin,1988-11-01,g,np,congress,1988-11-01-g-WI,WI
wyoming,1988-11-01,g,np,congress,1988-11-01-g-WY,WY
alaska,1988-11-01,g,np,congress,1988-11-01-g-AK,AK
hawaii,1988-11-01,g,np,congress,1988-11-01-g-HI,HI
guam,1988-11-01,g,np,congress,1988-11-01-g-GU,GU
american samoa,1988-11-01,g,np,congress,1988-11-01-g-AS,AS
northern mariana islands,1988-11-01,g,np,congress,1988-11-01-g-MP,MP
virgin islands,1988-11-01,g,np,congress,1988-11-01-g-VI,VI
puerto rico,1988-11-01,g,np,congress,1988-11-01-g-PR,PR
alabama,1990-11-06,g,np,congress,1990-11-06-g-AL,AL
arizona,1990-11-06,g,np,congress,1990-11-06-g-AZ,AZ
arkansas,1990-11-06,g,np,congress,1990-11-06-g-AR,AR
california,1990-11-06,g,np,congress,1990-11-06-g-CA,CA
