state_name,date,election_type,party,govt_type,election_key,state_abbr
pennsylvania,2012-04-24,p,np,congress,2012-04-24-p-PA,PA
indiana,2012-05-01,p,np,congress,2012-05-01-p-IN,IN
north carolina,2012-05-08,p,np,congress,2012-05-08-p-NC,NC
west virginia,2012-05-08,p,np,congress,2012-05-08-p-WV,WV
idaho,2012-05-15,p,np,congress,2012-05-15-p-ID,ID
nebraska,2012-05-15,p,np,congress,2012-05-15-p-NE,NE
oregon,2012-05-15,p,np,congress,2012-05-15-p-OR,OR
arkansas,2012-05-22,p,np,congress,2012-05-22-p-AR,AR
kentucky,2012-05-22,p,np,congress,2012-05-22-p-KY,KY
texas,2012-05-29,p,np,congress,2012-05-29-p-TX,TX
california,2012-06-05,p,np,congress,2012-06-05-p-CA,CA
iowa,2012-06-05,p,np,congress,2012-06-05-p-IA,IA
montana,2012-06-05,p,np,congress,2012-06-05-p-MT,MT
new jersey,2012-06-05,p,np,congress,2012-06-05-p-NJ,NJ
new mexico,2012-06-05,p,np,congress,2012-06-05-p-NM,NM
south dakota,2012-06-05,p,np,congress,2012-06-05-p-SD,SD
maine,2012-06-12,p,np,congress,2012-06-12-p-ME,ME
nevada,2012-06-12,p,np,congress,2012-06-12-p-NV,NV
north dakota,2012-06-12,p,np,congress,2012-06-12-p-ND,ND
south carolina,2012-06-12,p,np,congress,2012-06-12-p-SC,SC
virginia,2012-06-12,p,np,congress,2012-06-12-p-VA,VA
colorado,2012-06-26,p,np,congress,2012-06-26-p-CO,CO
new york,2012-06-26,p,np,congress,2012-06-26-p-NY,NY
oklahoma,2012-06-26,p,np,congress,2012-06-26-p-OK,OK
utah,2012-06-26,p,np,congress,2012-06-26-p-UT,UT
georgia,2012-07-31,p,np,congress,2012-07-31-p-GA,GA
tennessee,2012-08-02,p,np,congress,2012-08-02-p-TN,TN
kansas,2012-08-01,p,np,congress,2012-08-01-p-KS,KS
michigan,2012-08-01,p,np,congress,2012-08-01-p-MI,MI
missouri,2012-08-07,p,np,congress,2012-08-07-p-MO,MO
washington,2012-08-07,p,np,congress,2012-08-07-p-WA,WA
hawaii,2012-08-11,p,np,congress,2012-08-11-p-HI,HI
connecticut,2012-08-14,p,np,congress,2012-08-14-p-CT,CT
florida,2012-08-14,p,np,congress,2012-08-14-p-FL,FL
minnesota,2012-08-14,p,np,congress,2012-08-14-p-MN,MN
wisconsin,2012-08-14,p,np,congress,2012-08-14-p-WI,WI
wyoming,2012-08-21,p,np,congress,2012-08-21-p-WY,WY
alaska,2012-08-28,p,np,congress,2012-08-28-p-AK,AK
arizona,2012-08-28,p,np,congress,2012-08-28-p-AZ,AZ
vermont,2012-08-28,p,np,congress,2012-08-28-p-VT,VT
guam,2012-09-01,p,np,congress,2012-09-01-p-GU,GU
massachusetts,2012-09-06,p,np,congress,2012-09-06-p-MA,MA
virgin islands,2012-09-08,p,np,congress,2012-09-08-p-VI,VI
delaware,2012-09-11,p,np,congress,2012-09-11-p-DE,DE
new hampshire,2012-09-11,p,np,congress,2012-09-11-p-NH,NH
rhode island,2012-09-11,p,np,congress,2012-09-11-p-RI,RI
arkansas,2016-03-01,p,np,congress,2016-03-01-p-AR,AR
alabama,2016-03-01,p,np,congress,2016-03-01-p-AL,AL
texas,2016-03-01,p,np,congress,2016-03-01-p-TX,TX
mississippi,2016-03-08,p,np,congress,2016-03-08-p-MS,MS
illinois,2016-03-15,p,np,congress,2016-03-15-p-IL,IL
north carolina,2016-03-15,p,np,senate,2016-03-15-p-NC,NC
ohio,2016-03-15,p,np,congress,2016-03-15-p-OH,OH
maryland,2016-04-26,p,np,congress,2016-04-26-p-MD,MD
pennsylvania,2016-04-26,p,np,congress,2016-04-26-p-PA,PA
indiana,2016-05-03,p,np,congress,2016-05-03-p-IN,IN
nebraska,2016-05-10,p,np,congress,2016-05-10-p-NE,NE
west virginia,2016-05-10,p,np,congress,2016-05-10-p-WV,WV
idaho,2016-05-17,p,np,congress,2016-05-17-p-ID,ID
kentucky,2016-05-17,p,np,congress,2016-05-17-p-KY,KY
oregon,2016-05-17,p,np,congress,2016-05-17-p-OR,OR
georgia,2016-05-24,p,np,congress,2016-05-24-p-GA,GA
puerto rico,2016-06-05,p,np,congress,2016-06-05-p-PR,PR
california,2016-06-07,p,np,congress,2016-06-07-p-CA,CA
iowa,2016-06-07,p,np,congress,2016-06-07-p-IA,IA
montana,2016-06-07,p,np,congress,2016-06-07-p-MT,MT
new jersey,2016-06-07,p,np,congress,2016-06-07-p-NJ,NJ
new mexico,2016-06-07,p,np,congress,2016-06-07-p-NM,NM
north carolina,2016-06-07,p,np,house,2016-06-07-p-NC,NC
south dakota,2016-06-07,p,np,congress,2016-06-07-p-SD,SD
district of columbia,2016-06-14,p,np,congress,2016-06-14-p-DC,DC
