STATE ,CONGRESSIONAL PRIMARY DATE,CONGRESSIONAL PRIMARY RUNOFF
NEW HAMPSHIRE,9/10/2002,
NEW JERSEY,6/4/2002,
NEW MEXICO,6/4/2002,
NEW YORK,9/10/2002,
NORTH CAROLINA,9/10/2002,
NORTH DAKOTA,6/11/2002,
OHIO,5/7/2002,
OKLAHOMA,8/27/2002,9/17/2002
OREGON,5/21/2002,
PENNSYLVANIA,5/21/2002,
RHODE ISLAND,9/10/2002,
SOUTH CAROLINA,6/11/2002,6/25/2002
SOUTH DAKOTA,6/4/2002,6/18/2002
TENNESSEE,8/1/2002,
TEXAS,3/12/2002,4/9/2002
UTAH,6/25/2002,
VERMONT,9/10/2002,
VIRGINIA,6/11/2002,
VIRGIN ISLANDS,9/14/2002,
WASHINGTON,9/17/2002,
WEST VIRGINIA,5/14/2002,
WISCONSIN,9/10/2002,
WYOMING,8/20/2002,
Texas ,3/7/2006,4/11/2006
Illinois ,3/21/2006,
Indiana ,5/2/2006,
North Carolina ,5/2/2006,5/30/2006
Ohio ,5/2/2006,
Nebraska ,5/9/2006,
West Virginia ,5/9/2006,
Kentucky ,5/16/2006,
Oregon ,5/16/2006,
Pennsylvania ,5/16/2006,
Arkansas ,5/23/2006,6/13/2006
Idaho ,5/23/2006,
Alabama ,6/6/2006,7/18/2006
California ,6/6/2006,
Iowa ,6/6/2006,
Mississippi ,6/6/2006,6/27/2006
Montana ,6/6/2006,
New Jersey ,6/6/2006,
New Mexico ,6/6/2006,
South Dakota ,6/6/2006,6/20/2006
Maine ,6/13/2006,
North Dakota ,6/13/2006,
South Carolina ,6/13/2006,6/27/2006
Virginia ,6/13/2006,
Utah ,6/27/2006,
Georgia ,7/18/2006,8/8/2006
Oklahoma ,7/25/2006,8/22/2006
Kansas ,8/1/2006,
Tennessee ,8/3/2006,
Colorado ,8/8/2006,
Connecticut ,8/8/2006,
Michigan ,8/8/2006,
Missouri ,8/8/2006,
Nevada ,8/15/2006,
Alaska ,8/22/2006,
Wyoming ,8/22/2006,
Guam ,9/2/2006,
Florida ,9/5/2006,
Virgin Islands ,9/9/2006,
Florida ,8/24/2006,
Vermont ,8/24/2006,
Louisiana ,8/28/2006,10/2/2006
Guam ,9/4/2006,
Virgin Islands ,9/11/2006,
D.C. ,9/14/2006,
Delaware ,9/14/2006,
Maryland ,9/14/2006,
Massachusetts ,9/14/2006,
New Hampshire ,9/14/2006,
New York ,9/14/2006,
Rhode Island ,9/14/2006,
Wisconsin ,9/14/2006,
Hawaii ,9/18/2006,
Illinois ,2/2/2010, 
Texas ,3/21/2010,4/13/2010
Indiana ,5/1/2010, 
Ohio ,5/4/2010, 
North Carolina ,5/4/2010,6/22/2010
Nebraska ,5/11/2010, 
West Virginia ,5/11/2010, 
Kentucky ,5/18/2010, 
Oregon ,5/18/2010, 
Pennsylvania ,5/18/2010, 
Arkansas ,5/18/2010,6/8/2010
Idaho ,5/25/2010, 
New Mexico ,6/1/2010, 
Mississippi ,6/1/2010,6/22/2010
Alabama ,6/1/2010,7/13/2010
California ,6/8/2010, 
Iowa ,6/8/2010, 
Maine ,6/8/2010, 
Montana ,6/8/2010, 
Nevada ,6/8/2010, 
New Jersey ,6/8/2010, 
North Dakota ,6/8/2010, 
Virginia ,6/1/2010, 
South Carolina ,6/1/2010,6/22/2010
South Dakota ,6/8/2010,6/29/2010
Utah ,6/22/2010, 
Georgia ,7/20/2010,8/10/2010
Oklahoma ,7/27/2010,8/24/2010
Kansas ,8/31/2010, 
Michigan ,8/31/2010, 
Missouri ,8/3/2010, 
Tennessee ,8/5/2010, 
Colorado ,8/10/2010, 
Connecticut ,8/10/2010, 
Minnesota ,8/10/2010, 
Washington ,8/17/2010, 
Wyoming ,8/17/2010, 
Alaska ,8/24/2010, 
Arizona ,8/24/2010, 
Florida ,8/24/2010, 
Vermont ,8/24/2010, 
Louisiana ,8/28/2010,10/2/2010
Guam ,9/4/2010, 
Virgin Islands ,9/11/2010, 
D.C. ,9/14/2010, 
Delaware ,9/14/2010, 
Maryland ,9/14/2010, 
Massachusetts ,9/14/2010, 
New Hampshire ,9/14/2010, 
New York ,9/14/2010, 
Rhode Island ,9/14/2010, 
Wisconsin ,9/14/2010, 
Hawaii ,9/18/2010, 
Texas ,3/4/2014,5/27/2014
Illinois ,3/18/2014, 
D.C. ,4/1/2014, 
Indiana ,5/6/2014, 
North Carolina ,5/6/2014,7/15/2014
Ohio ,5/6/2014, 
Nebraska ,5/13/2014, 
West Virginia ,5/13/2014, 
Arkansas ,5/20/2014,6/10/2014
Georgia ,5/20/2014,7/22/2014
Idaho ,5/20/2014, 
Kentucky ,5/20/2014, 
Oregon ,5/20/2014, 
Pennsylvania ,5/20/2014, 
Alabama ,6/3/2014,7/15/2014
California ,6/3/2014, 
Iowa ,6/3/2014, 
Mississippi ,6/3/2014,6/24/2014
Montana ,6/3/2014, 
New Jersey ,6/3/2014, 
New Mexico ,6/3/2014, 
South Dakota ,6/3/2014,8/12/2014
Maine ,6/10/2014, 
Nevada ,6/10/2014, 
North Dakota ,6/10/2014, 
South Carolina ,6/10/2014,6/24/2014
Virginia ,6/10/2014, 
Colorado ,6/24/2014, 
Maryland ,6/24/2014, 
New York ,6/24/2014, 
Oklahoma ,6/24/2014,8/26/2014
Utah ,6/24/2014, 
Virgin Islands ,8/2/2014, 
