state_name,date,election_type,party,govt_type,election_key,state_abbr
idaho,2012-05-15,cp,n/a,congress,2012-05-15-cp-ID,ID
nebraska,2012-05-15,cp,n/a,congress,2012-05-15-cp-NE,NE
oregon,2012-05-15,cp,n/a,congress,2012-05-15-cp-OR,OR
arkansas,2012-05-22,cp,n/a,congress,2012-05-22-cp-AR,AR
kentucky,2012-05-22,cp,n/a,congress,2012-05-22-cp-KY,KY
texas,2012-05-29,cp,n/a,congress,2012-05-29-cp-TX,TX
california,2012-06-05,cp,n/a,congress,2012-06-05-cp-CA,CA
iowa,2012-06-05,cp,n/a,congress,2012-06-05-cp-IA,IA
montana,2012-06-05,cp,n/a,congress,2012-06-05-cp-MT,MT
new jersey,2012-06-05,cp,n/a,congress,2012-06-05-cp-NJ,NJ
new mexico,2012-06-05,cp,n/a,congress,2012-06-05-cp-NM,NM
south dakota,2012-06-05,cp,n/a,congress,2012-06-05-cp-SD,SD
maine,2012-06-12,cp,n/a,congress,2012-06-12-cp-ME,ME
nevada,2012-06-12,cp,n/a,congress,2012-06-12-cp-NV,NV
north dakota,2012-06-12,cp,n/a,congress,2012-06-12-cp-ND,ND
south carolina,2012-06-12,cp,n/a,congress,2012-06-12-cp-SC,SC
virginia,2012-06-12,cp,n/a,congress,2012-06-12-cp-VA,VA
colorado,2012-06-26,cp,n/a,congress,2012-06-26-cp-CO,CO
new york,2012-06-26,cp,n/a,congress,2012-06-26-cp-NY,NY
oklahoma,2012-06-26,cp,n/a,congress,2012-06-26-cp-OK,OK
utah,2012-06-26,cp,n/a,congress,2012-06-26-cp-UT,UT
georgia,2012-07-31,cp,n/a,congress,2012-07-31-cp-GA,GA
tennessee,2012-08-02,cp,n/a,congress,2012-08-02-cp-TN,TN
kansas,2012-08-01,cp,n/a,congress,2012-08-01-cp-KS,KS
michigan,2012-08-01,cp,n/a,congress,2012-08-01-cp-MI,MI
missouri,2012-08-07,cp,n/a,congress,2012-08-07-cp-MO,MO
washington,2012-08-07,cp,n/a,congress,2012-08-07-cp-WA,WA
